,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,TotalCharges,Churn
19,Female,0,No,No,21,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,1862.9,No
20,Male,1,No,No,1,No,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,Yes
21,Male,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),202.25,No
22,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,Yes
23,Female,0,Yes,No,58,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),3505.1,No
24,Male,0,Yes,Yes,49,Yes,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),2970.3,No
25,Female,0,No,No,30,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1530.6,No
26,Male,0,Yes,Yes,47,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,4749.15,Yes
27,Male,0,Yes,Yes,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,Yes
28,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6369.45,No
29,Female,0,No,Yes,17,Yes,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,1093.1,Yes
30,Female,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),6766.95,No
31,Male,1,Yes,No,2,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),181.65,No
32,Female,0,Yes,Yes,27,Yes,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,1874.45,No
33,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,No
34,Male,1,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,No
35,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),7251.7,No
36,Male,0,No,No,5,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,316.9,Yes
37,Female,0,No,No,46,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),3548.3,No
38,Male,0,No,No,34,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,3549.25,Yes
39,Female,0,No,No,11,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1105.4,Yes
40,Male,0,Yes,Yes,10,Yes,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,475.7,No
41,Female,0,Yes,Yes,70,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),4872.35,No
42,Female,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,418.25,No
43,Female,0,No,No,63,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),4861.45,No
44,Female,0,Yes,No,13,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,981.45,No
45,Female,0,No,No,49,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,3906.7,No
46,Male,0,No,No,2,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,97,No
47,Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,144.15,Yes
48,Male,0,No,No,52,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),4217.8,No
49,Female,0,Yes,Yes,69,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),4254.1,No
50,Female,1,No,No,43,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,3838.75,No
51,Female,0,No,No,15,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1426.4,Yes
52,Female,1,Yes,No,25,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),1752.65,No
53,Female,1,Yes,No,8,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),633.3,Yes
54,Female,1,Yes,Yes,60,Yes,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),4456.35,No
55,Male,1,No,No,18,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1752.55,Yes
56,Female,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),6311.2,No
57,Male,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,7076.35,No
58,Female,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),894.3,No
59,Female,0,No,No,72,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),7853.7,No
60,Female,0,Yes,No,47,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,4707.1,No
61,Male,0,No,No,60,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),5450.7,No
62,Male,0,Yes,No,72,No,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),2962,No
63,Female,0,Yes,Yes,18,Yes,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),957.1,No
64,Female,0,No,No,9,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,857.25,Yes
65,Female,0,No,No,3,Yes,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,244.1,No
66,Male,0,Yes,No,47,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,3650.35,No
67,Female,0,No,No,31,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,2497.2,No
68,Female,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),930.9,No
69,Male,0,No,No,10,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,887.35,No
70,Male,0,No,No,1,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,No
71,Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,1090.65,No
72,Male,1,Yes,Yes,64,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7099,No
73,Male,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1424.6,No
74,Female,0,No,Yes,3,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),177.4,No
75,Female,1,No,No,56,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,6139.5,No
76,Female,0,No,No,46,Yes,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),2688.85,No
77,Female,0,Yes,Yes,8,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,482.25,No
78,Male,1,No,No,30,Yes,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,2111.3,No
79,Female,0,Yes,Yes,45,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1216.6,No
80,Female,0,No,Yes,1,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,Yes
81,Female,0,Yes,Yes,11,No,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,565.35,No
82,Female,0,Yes,No,7,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),496.9,Yes
83,Female,0,No,No,42,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),4327.5,No
84,Female,0,Yes,No,49,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),973.35,No
85,Male,0,No,No,9,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),918.75,No
86,Female,0,Yes,No,35,Yes,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),2215.45,No
87,Female,0,Yes,Yes,48,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1057,No
88,Female,0,Yes,Yes,46,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,927.1,No
89,Male,0,Yes,No,29,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,1009.25,No
90,Male,0,Yes,Yes,30,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),2570.2,No
91,Male,1,No,No,1,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,No
92,Male,0,Yes,Yes,66,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,5714.25,No
93,Female,0,No,No,65,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),7107,No
94,Male,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),7459.05,No
95,Female,0,No,No,12,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,927.35,Yes
96,Male,0,Yes,Yes,71,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),4748.7,No
97,Male,0,No,No,5,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,113.85,Yes
98,Male,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1107.2,No
99,Female,1,Yes,No,25,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,2514.5,Yes
100,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,No
101,Female,0,Yes,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,No
102,Male,0,No,No,38,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),3605.6,No
103,Female,1,Yes,No,66,No,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),3027.25,No
104,Male,0,Yes,No,68,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),7611.85,Yes
105,Male,0,No,No,5,No,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,100.2,No
106,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,7303.05,No
107,Female,0,No,No,32,No,DSL,Yes,No,No,No,No,No,One year,No,Mailed check,927.65,No
108,Male,0,No,No,43,Yes,Fiber optic,No,No,No,No,Yes,Yes,One year,No,Mailed check,3921.3,No
109,Male,0,Yes,Yes,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1363.25,No
110,Male,0,Yes,No,55,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,5238.9,Yes
111,Female,0,No,No,52,Yes,DSL,Yes,No,Yes,Yes,No,No,One year,No,Credit card (automatic),3042.25,No
112,Female,0,No,No,43,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,3954.1,No
113,Female,1,Yes,No,37,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,2868.15,Yes
114,Female,0,Yes,Yes,64,No,DSL,No,Yes,No,Yes,Yes,Yes,Two year,Yes,Electronic check,3423.5,No
115,Male,0,Yes,Yes,3,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,248.4,No
116,Female,0,No,No,36,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),1126.35,No
117,Female,0,Yes,Yes,10,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,1064.65,Yes
118,Female,0,No,No,41,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,835.15,No
119,Male,0,Yes,Yes,27,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),2151.6,No
120,Female,0,Yes,Yes,56,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),5515.45,No
121,Female,0,No,No,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,112.75,No
122,Male,0,No,No,3,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,229.55,Yes
123,Female,0,Yes,Yes,7,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,350.35,No
124,Female,0,Yes,Yes,4,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,62.9,No
125,Male,0,No,No,33,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Two year,Yes,Electronic check,3027.65,No
126,Female,1,No,No,27,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,2135.5,Yes
127,Male,0,Yes,No,72,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),1723.95,No
128,Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,19.75,No
129,Male,1,No,No,71,No,DSL,Yes,Yes,No,No,Yes,Yes,One year,Yes,Electronic check,3985.35,No
130,Female,0,No,No,13,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,1215.65,No
131,Female,0,Yes,Yes,25,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),1502.65,Yes
132,Male,0,No,No,67,Yes,DSL,No,No,No,Yes,No,No,Two year,No,Bank transfer (automatic),3260.1,No
133,Male,0,No,No,1,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,35.45,Yes
134,Male,0,No,No,2,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,81.25,Yes
135,Female,0,No,No,43,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),1188.2,No
136,Female,0,No,No,23,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),1778.5,No
137,Female,0,Yes,Yes,64,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1277.75,No
138,Male,0,No,Yes,57,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,1170.55,No
139,Female,1,Yes,No,1,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,70.45,Yes
140,Female,1,Yes,Yes,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),6425.65,No
141,Female,0,No,No,8,Yes,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,563.65,Yes
142,Female,0,Yes,No,61,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),5971.25,No
143,Male,0,No,No,64,Yes,Fiber optic,Yes,Yes,No,No,No,No,One year,Yes,Credit card (automatic),5289.05,No
144,Male,1,Yes,No,71,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1756.2,No
145,Female,0,Yes,Yes,65,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,Yes,Credit card (automatic),6416.7,No
146,Male,0,No,No,3,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,61.35,No
147,Male,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,45.65,Yes
148,Male,0,No,Yes,30,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),1929.95,No
149,Male,0,Yes,Yes,15,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Mailed check,1071.4,No
150,Female,0,Yes,Yes,8,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,564.35,No
151,Male,0,No,No,7,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,655.5,Yes
152,Female,0,Yes,Yes,70,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),7930.55,No
153,Male,0,Yes,Yes,62,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Electronic check,5215.25,No
154,Female,0,Yes,Yes,6,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,113.5,No
155,Female,0,Yes,Yes,14,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),1152.8,No
156,Female,0,No,No,22,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),1821.95,No
157,Male,0,Yes,Yes,22,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,419.9,No
158,Male,0,Yes,Yes,16,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Mailed check,1024,No
159,Male,0,No,No,10,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),251.6,No
160,Female,0,No,Yes,13,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,764.55,No
161,Female,0,Yes,No,20,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,1592.35,Yes
162,Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,135.2,No
163,Male,0,No,No,53,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Two year,Yes,Bank transfer (automatic),3958.25,No
164,Female,0,Yes,Yes,11,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,233.9,No
165,Male,0,Yes,No,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,1363.45,No
166,Female,0,No,No,4,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),273,Yes
167,Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),6254.45,No
168,Male,1,Yes,No,58,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,2651.2,Yes
169,Female,0,Yes,Yes,16,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,321.4,No
170,Male,0,Yes,No,43,Yes,Fiber optic,Yes,No,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),3539.25,No
171,Female,0,Yes,No,2,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,242.8,Yes
172,Male,0,Yes,No,14,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,1181.75,No
173,Female,0,Yes,No,53,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),5000.2,Yes
174,Female,0,No,No,32,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),654.55,No
175,Female,0,Yes,No,34,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,780.2,No
176,Female,1,No,No,15,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,1145.7,Yes
177,Female,1,No,No,7,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),503.6,Yes
178,Female,0,Yes,Yes,15,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),1559.25,No
179,Male,0,Yes,No,61,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),1252,No
180,Female,0,No,No,1,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Bank transfer (automatic),29.95,Yes
181,Female,0,No,No,1,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Mailed check,45.3,No
182,Male,0,No,No,8,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),662.65,Yes
183,Male,0,Yes,Yes,33,Yes,DSL,Yes,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),2453.3,No
184,Female,0,No,No,13,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,1111.65,Yes
185,Female,0,Yes,No,1,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,24.8,Yes
186,Male,0,No,No,20,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,1023.85,No
187,Male,0,No,No,3,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,82.15,No
188,Female,0,No,No,13,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,244.8,No
189,Female,0,Yes,No,40,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Credit card (automatic),2379.1,No
190,Male,0,Yes,Yes,43,Yes,DSL,Yes,No,No,Yes,No,Yes,One year,Yes,Credit card (automatic),3173.35,No
191,Male,0,Yes,No,6,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,531,Yes
192,Female,0,Yes,Yes,69,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),1375.4,No
193,Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),8129.3,No
194,Male,0,Yes,Yes,59,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),1192.7,No
195,Female,0,Yes,No,20,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,1901.65,No
196,Male,0,Yes,Yes,24,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),587.4,No
197,Male,0,No,No,59,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,6519.75,No
198,Male,0,Yes,Yes,72,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),8041.65,No
199,Male,0,No,Yes,1,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.75,No
200,Female,0,Yes,No,27,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,One year,Yes,Credit card (automatic),2681.15,No
201,Female,0,No,No,14,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),1112.3,No
202,Male,0,Yes,Yes,71,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,Electronic check,7405.5,No
203,Male,0,No,Yes,13,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),1033.95,No
204,Male,0,No,No,44,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),2958.95,No
205,Female,0,No,No,33,Yes,Fiber optic,No,Yes,No,Yes,No,No,One year,Yes,Bank transfer (automatic),2684.85,No
